"","police_dist","year","crash_type","crashes","injuries_total","injuries_fatal","injuries_incapacitating","injuries_non_incapacitating","injuries_reported_not_evident"
"35","12","2020","PEDESTRIAN",138,121,1,25,77,18
"36","12","2020","Vehicle/Other",4716,810,5,59,451,295
"37","14","2018","PEDALCYCLIST",199,145,0,18,104,23
"38","14","2018","PEDESTRIAN",122,118,0,21,74,23
"39","14","2018","Vehicle/Other",4554,621,4,46,323,248
"40","14","2019","PEDALCYCLIST",192,142,0,17,100,25
"41","14","2019","PEDESTRIAN",135,131,0,21,90,20
"42","14","2019","Vehicle/Other",4231,549,2,49,295,203
"43","14","2020","PEDALCYCLIST",113,79,0,8,54,17
"44","14","2020","PEDESTRIAN",67,64,1,13,41,9
"45","14","2020","Vehicle/Other",2815,436,4,39,251,142
"46","15","2018","PEDALCYCLIST",24,23,0,2,17,4
"47","15","2018","PEDESTRIAN",89,82,0,13,55,14
"48","15","2018","Vehicle/Other",2891,588,4,68,291,225
"49","15","2019","PEDALCYCLIST",26,21,0,3,16,2
"50","15","2019","PEDESTRIAN",96,102,1,11,64,26
"51","15","2019","Vehicle/Other",2995,662,2,53,395,212
"52","15","2020","PEDALCYCLIST",26,22,0,5,14,3
"53","15","2020","PEDESTRIAN",83,83,0,26,45,12
"54","15","2020","Vehicle/Other",3348,800,4,76,488,232
"55","16","2018","PEDALCYCLIST",70,57,0,9,39,9
"56","16","2018","PEDESTRIAN",120,109,0,19,67,23
"57","16","2018","Vehicle/Other",7306,1140,2,154,570,414
"58","16","2019","PEDALCYCLIST",79,63,0,14,44,5
"59","16","2019","PEDESTRIAN",145,134,1,32,80,21
"60","16","2019","Vehicle/Other",7317,1097,6,131,613,347
"61","16","2020","PEDALCYCLIST",74,56,1,7,40,8
"62","16","2020","PEDESTRIAN",97,87,1,19,55,12
"63","16","2020","Vehicle/Other",4957,798,1,98,442,257
"64","17","2018","PEDALCYCLIST",110,78,1,6,57,14
"65","17","2018","PEDESTRIAN",133,124,0,31,74,19
"66","17","2018","Vehicle/Other",5137,628,5,62,328,233
"67","17","2019","PEDALCYCLIST",81,65,1,6,49,9
"68","17","2019","PEDESTRIAN",120,115,0,25,75,15
"69","17","2019","Vehicle/Other",4939,568,0,62,274,232
"70","17","2020","PEDALCYCLIST",82,59,0,11,39,9
"71","17","2020","PEDESTRIAN",93,85,1,16,55,13
"72","17","2020","Vehicle/Other",3400,444,2,45,229,168
"73","18","2018","PEDALCYCLIST",197,118,0,19,82,17
"74","18","2018","PEDESTRIAN",263,234,0,39,146,49
"75","18","2018","Vehicle/Other",7240,783,3,78,433,269
"76","18","2019","PEDALCYCLIST",213,134,0,9,105,20
"77","18","2019","PEDESTRIAN",309,270,2,39,179,50
"78","18","2019","Vehicle/Other",6959,614,2,58,303,251
"79","18","2020","PEDALCYCLIST",138,95,0,14,69,12
"80","18","2020","PEDESTRIAN",118,103,1,13,78,11
"81","18","2020","Vehicle/Other",3577,487,4,42,287,154
"82","19","2018","PEDALCYCLIST",227,151,0,21,109,21
"83","19","2018","PEDESTRIAN",228,206,2,37,130,37
"84","19","2018","Vehicle/Other",5809,564,1,44,263,256
"85","19","2019","PEDALCYCLIST",199,148,0,20,105,23
"86","19","2019","PEDESTRIAN",194,165,2,27,98,38
"87","19","2019","Vehicle/Other",5908,606,2,52,275,277
"88","19","2020","PEDALCYCLIST",184,143,0,16,104,23
"89","19","2020","PEDESTRIAN",124,110,0,15,59,36
"90","19","2020","Vehicle/Other",3432,445,3,56,234,152
"91","2","2018","PEDALCYCLIST",27,15,0,1,13,1
"92","2","2018","PEDESTRIAN",129,108,0,22,60,26
"93","2","2018","Vehicle/Other",3844,862,5,103,472,282
"94","2","2019","PEDALCYCLIST",35,21,0,3,15,3
"95","2","2019","PEDESTRIAN",125,126,2,23,70,31
"96","2","2019","Vehicle/Other",3635,720,4,86,401,229
"97","2","2020","PEDALCYCLIST",44,29,0,5,20,4
"98","2","2020","PEDESTRIAN",74,74,1,17,40,16
"99","2","2020","Vehicle/Other",3260,761,2,64,457,238
"100","20","2018","PEDALCYCLIST",74,48,0,5,36,7
"101","20","2018","PEDESTRIAN",98,84,0,24,44,16
"102","20","2018","Vehicle/Other",2871,329,1,31,148,149
"103","20","2019","PEDALCYCLIST",70,51,0,8,29,14
"104","20","2019","PEDESTRIAN",67,64,0,14,43,7
"105","20","2019","Vehicle/Other",2810,277,0,13,149,115
"106","20","2020","PEDALCYCLIST",39,28,0,5,19,4
"107","20","2020","PEDESTRIAN",51,47,2,9,29,7
"108","20","2020","Vehicle/Other",1784,248,0,31,113,104
"109","22","2018","PEDALCYCLIST",30,17,0,3,9,5
"110","22","2018","PEDESTRIAN",82,70,0,13,37,20
"111","22","2018","Vehicle/Other",4072,741,3,64,369,305
"112","22","2019","PEDALCYCLIST",20,17,0,4,11,2
"113","22","2019","PEDESTRIAN",63,58,0,14,30,14
"114","22","2019","Vehicle/Other",3809,745,3,54,351,337
"115","22","2020","PEDALCYCLIST",26,18,0,4,12,2
"116","22","2020","PEDESTRIAN",57,48,3,8,25,12
"117","22","2020","Vehicle/Other",3698,734,7,57,399,271
"118","24","2018","PEDALCYCLIST",77,58,0,6,43,9
"119","24","2018","PEDESTRIAN",123,112,0,13,77,22
"120","24","2018","Vehicle/Other",4112,358,1,23,233,101
"121","24","2019","PEDALCYCLIST",80,67,0,9,48,10
"122","24","2019","PEDESTRIAN",96,91,0,19,58,14
"123","24","2019","Vehicle/Other",3997,359,2,44,192,121
"124","24","2020","PEDALCYCLIST",65,51,0,5,37,9
"125","24","2020","PEDESTRIAN",62,58,1,10,34,13
"126","24","2020","Vehicle/Other",2690,257,2,28,143,84
"127","25","2018","PEDALCYCLIST",125,96,0,12,73,11
"128","25","2018","PEDESTRIAN",159,152,2,30,90,30
"129","25","2018","Vehicle/Other",7251,1067,4,108,586,369
"130","25","2019","PEDALCYCLIST",100,71,0,9,54,8
"131","25","2019","PEDESTRIAN",202,198,7,37,116,38
"132","25","2019","Vehicle/Other",7144,1062,2,88,588,384
"133","25","2020","PEDALCYCLIST",84,56,0,7,40,9
"134","25","2020","PEDESTRIAN",122,114,0,18,78,18
"135","25","2020","Vehicle/Other",5752,864,2,78,508,276
"136","3","2018","PEDALCYCLIST",36,34,1,5,21,7
"137","3","2018","PEDESTRIAN",77,77,0,12,54,11
"138","3","2018","Vehicle/Other",3378,788,8,85,440,255
"139","3","2019","PEDALCYCLIST",31,26,1,4,18,3
"140","3","2019","PEDESTRIAN",110,111,0,28,70,13
"141","3","2019","Vehicle/Other",3401,818,2,66,463,287
"142","3","2020","PEDALCYCLIST",18,14,0,3,9,2
"143","3","2020","PEDESTRIAN",92,88,1,19,51,17
"144","3","2020","Vehicle/Other",3668,887,6,92,510,279
"145","4","2018","PEDALCYCLIST",17,11,0,1,10,0
"146","4","2018","PEDESTRIAN",81,74,1,11,46,16
"147","4","2018","Vehicle/Other",4352,997,13,94,609,281
"148","4","2019","PEDALCYCLIST",24,18,0,3,12,3
"149","4","2019","PEDESTRIAN",109,104,3,17,62,22
"150","4","2019","Vehicle/Other",4464,955,6,94,510,345
"151","4","2020","PEDALCYCLIST",21,19,0,5,10,4
"152","4","2020","PEDESTRIAN",71,62,0,16,39,7
"153","4","2020","Vehicle/Other",4358,995,10,108,579,298
"154","5","2018","PEDALCYCLIST",18,14,0,1,9,4
"155","5","2018","PEDESTRIAN",56,52,0,9,34,9
"156","5","2018","Vehicle/Other",2546,524,4,45,277,198
"157","5","2019","PEDALCYCLIST",17,14,0,1,11,2
"158","5","2019","PEDESTRIAN",52,43,1,6,31,5
"159","5","2019","Vehicle/Other",2552,640,4,48,364,224
"160","5","2020","PEDALCYCLIST",10,9,0,1,8,0
"161","5","2020","PEDESTRIAN",51,48,0,9,29,10
"162","5","2020","Vehicle/Other",2687,658,4,75,420,159
"163","6","2018","PEDALCYCLIST",28,20,0,2,12,6
"164","6","2018","PEDESTRIAN",168,167,3,29,95,40
"165","6","2018","Vehicle/Other",4865,973,2,68,489,414
"166","6","2019","PEDALCYCLIST",28,21,1,4,10,6
"167","6","2019","PEDESTRIAN",171,154,3,26,94,31
"168","6","2019","Vehicle/Other",4841,1009,3,75,556,375
"169","6","2020","PEDALCYCLIST",27,23,0,6,13,4
"170","6","2020","PEDESTRIAN",123,117,1,21,81,14
"171","6","2020","Vehicle/Other",4828,1138,13,72,646,407
"172","7","2018","PEDALCYCLIST",25,22,0,5,13,4
"173","7","2018","PEDESTRIAN",102,103,4,22,59,18
"174","7","2018","Vehicle/Other",2876,729,9,75,403,242
"175","7","2019","PEDALCYCLIST",33,25,0,8,15,2
"176","7","2019","PEDESTRIAN",90,88,3,18,56,11
"177","7","2019","Vehicle/Other",2964,783,2,53,424,304
"178","7","2020","PEDALCYCLIST",22,20,0,2,16,2
"179","7","2020","PEDESTRIAN",99,84,2,24,44,14
"180","7","2020","Vehicle/Other",3540,959,6,96,514,343
"181","8","2018","PEDALCYCLIST",77,58,0,9,43,6
"182","8","2018","PEDESTRIAN",220,213,7,47,127,32
"183","8","2018","Vehicle/Other",9849,1426,6,145,816,459
"184","8","2019","PEDALCYCLIST",79,52,0,9,35,8
"185","8","2019","PEDESTRIAN",188,172,1,38,102,31
"186","8","2019","Vehicle/Other",9670,1376,2,146,762,466
"187","8","2020","PEDALCYCLIST",59,41,2,5,30,4
"188","8","2020","PEDESTRIAN",137,124,0,29,81,14
"189","8","2020","Vehicle/Other",7978,1320,17,151,736,416
"190","9","2018","PEDALCYCLIST",95,65,0,2,48,15
"191","9","2018","PEDESTRIAN",174,156,1,37,92,26
"192","9","2018","Vehicle/Other",5816,963,7,86,536,334
"193","9","2019","PEDALCYCLIST",89,63,0,7,44,12
"194","9","2019","PEDESTRIAN",148,134,2,25,85,22
"195","9","2019","Vehicle/Other",6016,883,2,86,512,283
"196","9","2020","PEDALCYCLIST",74,53,0,8,43,2
"197","9","2020","PEDESTRIAN",102,97,5,17,62,13
"198","9","2020","Vehicle/Other",4777,838,7,97,490,244
"199",NA,"2018","PEDALCYCLIST",1,1,0,1,0,0
"200",NA,"2018","Vehicle/Other",33,2,0,0,1,1
"201",NA,"2019","Vehicle/Other",41,7,0,2,4,1
"202",NA,"2020","PEDESTRIAN",1,1,0,0,1,0
"203",NA,"2020","Vehicle/Other",22,2,0,0,1,1
